sample_id,label,n_events,n_nodes,n_edges,build_time_s,peak_memory_kb
0a05eba9b38cfdd6f60eaa673a215197449cf1c71eb2fff70a99f8d68fbee089,Emotet,186,139,186,0.000262,
0a103da911f3f01694f89fc86f46c43afc28e375c89cd558a183ec6e7634397f,Emotet,46,27,46,0.000070,
0a1ec4812d99a232c8e0f74fd3a99e91e8609f84a86161f8f47d2969ac315717,Emotet,300,193,300,0.000403,
0a2026035ad7b49d5164bb9aab5dc9fd707b30be0d216c29b85ae1c830440833,Trickbot,42,35,42,0.000075,
0a515fd7b537141e15a5cfeaa29c588f5de9d35424445583adfd06a0d1267604,Emotet,268,185,268,0.000383,
0a632210c2177c0e58ffd5be7f6414eff56b1a5a1e81f7f4ba990445e14e439a,Emotet,156,135,156,0.000224,
0a8fac51df92f3c72fccb1c915e9868f38abc23b0935a94cc6f3c9cfbbcacf50,Emotet,163,131,163,0.000231,
0aa25610d031cc2a61c1de75f7a06e1a0fbe2e3409ef5a915712531a36c81c12,Trickbot,17,17,17,0.000042,
0aaec9166f1a8f7be4ae7acc462cb059a6ae8f36a93b29f813afc27d8a64897d,Emotet,87,28,87,0.000125,
0ab7d5174e8b2f80d9813c75dd6f77d230847f82d42ea258182ec0705191cd4b,Emotet,1052,977,1052,0.001884,283
0ace812b8543c1ad170d2402c68ab7bef55deb1323347d5b1d87555401781080,Trickbot,1886,1232,1886,0.003011,
0ae19796fcb4228809c248afb8de65738bc3894d54802b9ff22c930eaa693b3b,Emotet,63,33,63,0.000099,
0b1915ae4bbb24a25fca743f9d33b2e3cdea3ef76a9bdba493ad90afe1bf3864,Trickbot,43,36,43,0.000082,
0b219336d3e1824de5f36a035d89992f93e5d3f80dba7dc9bdeb149d9b855cd2,Emotet,75,40,75,0.000102,
0b3dd23c25217143b997c65d091034fdd9040cdb52f690140da979f621bcd300,Trickbot,1440,872,1440,0.002217,
0b417dc878dd8183689ce5b4ca2a3b224082be1475d21c302c214b209fc04297,Emotet,173,96,173,0.000266,
0b67f6edeca2b74e1c6fb1bba203e4ba4696cbc4ce9ede8ca8e0d68f666bf8bb,Emotet,255,187,255,0.000351,
0b96a6b9354c15cabdb6ddeb6b1e663740a4068795a8f8171550ff13a59e92db,Emotet,157,133,157,0.000233,
0b97923efc2050162704d91ef7e5e9daac125606800d712aefcc7de9cdd3eaa0,Emotet,1057,974,1057,0.001773,
0ba5db16ca5b9c103732fed6548383667d586a1bbbe8e5063c2631badd8c3f53,Emotet,202,150,202,0.000322,41
0bb862a3f5561f3459729b4b3c6de980368814f59150085e6c6921b15f489c27,Emotet,159,120,159,0.000226,
0bc27221732ff44b2720af49b0fb486b543dc5d503b21e5a627cd19132ddb9f8,Trickbot,16,17,16,0.000031,
0bc491dc0ff4b79edad5237f9a5a91df3820f9ce5c4146ddbdf1ffb51441f3d9,Emotet,186,138,186,0.000257,
0bf446f58c71a9fefdd86311c2339b8f0142ba842195120af16b1529aea54364,Trickbot,15,13,15,0.000028,
